id,uni_cofactor,uni_seq_len,pdbid,chid,basid,all_pdb_ligands,pdb_cofactors,n_pdb_cofactors,pdb_ligand_or_drugs,n_pdb_ligand_or_drugs,resrange,modeled_len,n_mut,n_missing_fsite,coverage,resolution,r_free
P31645,[],630,7LI7,7LI7.A,['1'],"['D12', 'HP6', 'LNK', 'D10', 'CLR']",set(),0,"{'LNK', 'CLR', 'D12', 'HP6', 'D10'}",5,79-615,537,0,0,0.8523809523809524,4.1,
P31645,[],630,6DZV,6DZV.A,['1'],"['Y01', 'HJM']",set(),0,"{'Y01', 'HJM'}",2,79-615,537,0,0,0.8523809523809524,4.2,
P31645,[],630,6DZW,6DZW.A,['1'],"['8PR', 'NAG']",set(),0,"{'NAG', '8PR'}",2,79-615,537,0,0,0.8523809523809524,4.3,
P31645,[],630,5I6X,5I6X.A,['1'],"['NAG', 'CLR', 'LMT', '8PR', 'CL', 'NA']",set(),0,"{'LMT', '8PR', 'CL', 'CLR', 'NA', 'NAG'}",6,76-618,543,4,0,0.861904761904762,3.14,0.27
P31645,[],630,6AWN,6AWN.A,['1'],"['NAG', 'CLR', 'LMT', '8PR', 'CL', 'NA']",set(),0,"{'LMT', '8PR', 'CL', 'CLR', 'NA', 'NAG'}",6,76-618,543,4,0,0.861904761904762,3.62,0.263
P31645,[],630,5I6Z,5I6Z.A,['1'],['NAG'],set(),0,{'NAG'},1,76-618,543,4,0,0.861904761904762,4.53,0.317
P31645,[],630,5I73,5I73.A,['1'],"['68P', 'NAG', 'CLR', 'C14', 'NA', 'ACA']",set(),0,"{'C14', 'ACA', 'NA', 'CLR', '68P', 'NAG'}",6,76-618,542,4,0,0.8603174603174604,3.24,0.275
P31645,[],630,5I75,5I75.A,['1'],"['68P', 'NAG', '69D', 'NA', 'CLR', 'C14']",set(),0,"{'C14', '69D', 'CLR', 'NA', '68P', 'NAG'}",6,76-618,542,4,0,0.8603174603174604,3.49,0.286
P31645,[],630,5I71,5I71.A,['1'],"['68P', 'NAG', 'CLR', 'HEX', 'NA', 'D12']",set(),0,"{'NA', 'D12', 'CLR', 'HEX', 'NAG', '68P'}",6,76-618,541,4,0,0.8587301587301587,3.15,0.276
P31645,[],630,6AWO,6AWO.A,['1'],"['SRE', 'NAG', 'CLR', 'CL', 'NA']",set(),0,"{'SRE', 'CL', 'CLR', 'NA', 'NAG'}",5,76-618,543,5,0,0.861904761904762,3.53,0.2832
P31645,[],630,6AWP,6AWP.A,['1'],"['FVX', 'NAG', 'CLR', 'CL', 'NA']",set(),0,"{'CL', 'CLR', 'NA', 'FVX', 'NAG'}",5,76-618,543,5,0,0.861904761904762,3.8,0.2693
P31645,[],630,6AWQ,6AWQ.A,['1'],"['SRE', 'NAG', 'CLR', 'CL', 'NA']",set(),0,"{'SRE', 'CL', 'CLR', 'NA', 'NAG'}",5,76-618,543,5,0,0.861904761904762,4.05,0.3161
P31645,[],630,5I74,5I74.A,['1'],"['69D', 'NAG', 'CLR', 'D12', 'HEX']",set(),0,"{'69D', 'CLR', 'D12', 'HEX', 'NAG'}",5,76-618,541,5,0,0.8587301587301587,3.4,0.2962
